id,phone_number,city,state,url
"HUNTINGTON BEACH. Bao lương $1,000. Tiệm cách Bolsa 10 phút, khu Target and Vons rất đông khách, tips cao, cần thợ TRẺ BỘT, NƯỚC, WAX. L/L: 661-444-4958",661-444-4958,Bakersfield,California,https://mraovat.nguoi-viet.com/classified/huntington-beach-bao-lng-tim-cch-bolsa-pht-khu-target-and-vons-rt-listing-383505.aspx
"CẦN THỢ NAIL Bao lương $1,400. Bakersfield, cách Bolsa 2 hr, cần nhiều Thợ Bột, Nước, Wax. Tip rất cao, Mỹ trắng. Có chỗ ở. 661-444-4958",661-444-4958,Oildale,California,https://mraovat.nguoi-viet.com/classified/cn-th-nail-bao-lng-bakersfield-cch-bolsa-hr-cn-nhiu-th-bt-listing-383506.aspx
"MISSION VIEJO Cần thợ kinh nghiệm bột P&W và Dip. Làm Full-time & Chủ Nhật. Khách Mỹ Trắng. Giá cao, tip hậu. Chủ có bao lương. 714-321-1960. Hiring experience doing...",714-321-1960,Buena Park,California,https://mraovat.nguoi-viet.com/classified/mission-viejo-cn-th-kinh-nghim-bt-pw-v-gel-lm-full-time-ch-nht-listing-383949.aspx
"Tiệm vùng Downey trong shopping center BestBuy Ross, Starbuck. Cần thợ Nails biết Bột, TCN, Waxing, Eyelash. Đông khách walk-in, cách Bolsa 25'. Bao lương, ăn chia. PT/FT. 562-803-0487",562-803-0487,Seal Beach,California,https://mraovat.nguoi-viet.com/classified/tiem-vng-downey-trong-shopping-center-bestbuy-ross-starbuck-cn-th-nails-bit-bt-tcn-listing-384351.aspx
"Tiệm cách Bolsa 25', khách Mễ dễ thương, không khí gia đình. Cần Thợ Nữ Bột, CTN kinh nghiệm, đàng hòang, đi làm liền, trả W2. Bao lương cao. 714-868-2916",714-868-2916,Stanton,California,https://mraovat.nguoi-viet.com/classified/tim-cch-bolsa-khch-m-d-thng-khng-kh-gia-nh-cn-th-n-listing-384542.aspx
"Irvine. Tiệm đông khách, cần nhiều thợ KN bột, Gel X, Dipping và Sơn Gel đẹp. Cần trách nhiệm và có tâm. Bao lương nếu cần. 619-865-3903, 949-333-2290.",619-865-3903,Spring Valley,California,https://mraovat.nguoi-viet.com/classified/irvine-tim-ng-khch-cn-nhiu-th-kn-bt-gel-x-dipping-v-sn-gel-listing-384807.aspx
CẦN THỢ NAILS có kinh nghiệm. Bao lương cao. Tiệm mở cửa 10:00AM - 7:00PM. Cách Bolsa 15 phút. L/L: 714-496-9123,714-496-9123,Fountain Valley,California,https://mraovat.nguoi-viet.com/classified/cn-th-nails-c-kinh-nghim-bao-lng-cao-tim-m-ca-am-pm-cch-listing-384817.aspx
"Lương $1,400-$1,800/tuần + bonus. Huntington Beach. Tiệm lớn, sang. Khu Target cần thợ giỏi, hoạt bát, K/N everything, làm và coi tiệm. Must speak English. 661-444-4958",661-444-4958,Bakersfield,California,https://mraovat.nguoi-viet.com/classified/lng-tun-bonus-huntington-beach-tim-ln-sang-khu-target-cn-th-gii-hot-listing-385061.aspx
Nails ở Lakewood Mall cách Bolsa 20 phút cần thợ trẻ K/N Bột và thợ TCN Sơn Gel đẹp. Làm việc: 10am-7pm. L/L 562-704-1878,562-704-1878,Lakewood,California,https://mraovat.nguoi-viet.com/classified/nail-listing-385238.aspx
"Tiệm Nail ở Anaheim, CẦN THỢ NỮ gấp BIẾT LÀM BỘT và TCN, khách dễ làm, không khí gia đình. Cách Bolsa 15’ Local. L/L: 714-999-8856, 657-221-8809",714-999-8856,Buena Park,California,https://mraovat.nguoi-viet.com/classified/tim-nail-anaheim-cn-th-n-gp-bit-lm-bt-v-tcn-th-mi-ok-listing-385239.aspx
"CẦN NHIỀU THỢ BỘT BAO $1,600/6 NGÀY, CTN BAO $1,500/6 NGÀY and up. Tiệm khu trắng sang Cách Las Vegas 1’30”. Chỗ ở thoải mái. L/L: 920-713-2384",920-713-2384,De Pere,Wisconsin,https://mraovat.nguoi-viet.com/classified/ct-listing-385245.aspx
"*15 phút cách Bolsa, Huntington Beach. Cần Nữ KN CTN + GEL COLORS, không làm Bột. BAO LƯƠNG, nghỉ Sunday and Monday. Call: CHI LEE. 714-487-4088.",714-487-4088,Orange,California,https://mraovat.nguoi-viet.com/classified/-pht-cch-bolsa-huntington-beach-cn-n-kn-ctn-gel-colors-khng-lm-listing-385254.aspx
BAO **$150 - $200/1 ngày. Fullset: 40+ Cần thợ BỘT biết Designs. TIPS CASH. Chia turn công bằng. Tiệm đông khách. HAWTHORNE 10 phút. BOLSA 30phút. L/L: 310-220-1659.,310-220-1659,Inglewood,California,https://mraovat.nguoi-viet.com/classified/bao--ngy-fullset-cn-th-bt-bit-designs-tips-cash-chia-turn-listing-385255.aspx
"Tiệm Anaheim đông khách. Cần Thợ Bột, CTN, Dip KN biết Design. Income cao, cách Bolsa 10', làm Sunday. L/L 714-474-8333",714-474-8333,North Tustin,California,https://mraovat.nguoi-viet.com/classified/tim-anaheim-ng-khch-cn-th-bt-ctn-dip-kn-bit-design-income-cao-cch-listing-385278.aspx
"Tiệm Riverside khu sang, nhiều khách walking, tips rất good. Cần thợ K/N bột, Dip. Bao lương nếu cần. 1k/W. L/L 714-468-7338",714-468-7338,Buena Park,California,https://mraovat.nguoi-viet.com/classified/nail-listing-385323.aspx
